calle
CABRERA, JOSE A.
CACHIMAYO
CAFAYATE
CAJARAVILLA
CALIFORNIA
CALLAO AV.
CALVO, CARLOS
CALVO, CARLOS AV.
CAMARGO
CAMARONES
CAMPICHUELO
CAMPILLO
CAMPOS, LUIS M. AV.
CAÑADA DE GOMEZ
CAPDEVILA
CARABOBO AV.
CARDENAS, CNEL. AV.
CARHUE
CARRANZA, ADOLFO P.
CARRANZA, ANGEL JUSTINIANO
CARRASCO AV.
CARRERAS, SANTIAGO DE LAS
CARRILLO, RAMON, DR.
CARRIL, SALVADOR MARIA DEL AV.
CASARES AV.
CASEROS AV.
CASTANARES AV.
CASTANEDA
CASTAÑARES AV.
CASTEX
CASTILLO, CATULO
CASTILLO, RAMON S., PRES. AV.
CASTRO
CASTRO BARROS
CASTRO BARROS AV.
CASTRO, EMILIO AV.
CATAMARCA
CERVANTES
CERVINO AV.
CERVIÑO AV.
CHARCAS
CHARLONE
CHILE
CHILE AV.
CHIVILCOY AV.
CHORROARIN AV.
CHUTRO, PEDRO, PROF., DR.
CIUDADELA
COBO AV.
COCHABAMBA
COLOMBIA AV.
COLOMBRES
COLONIA AV.
COMBATE DE LOS POZOS
COMBATIENTES DE MALVINAS AV.
COMPLEJO CIUDAD UNIVERSITARIA (SIN NOMBRE OFICIAL)
CONCORDIA
CONDE
CONDOR
CONESA
CONGRESO AV.
CONSTITUCION
CORDOBA
CORDOBA AV.
CORRALES
CORRIENTES AV.
CORTEJARENA, JOSE A.
CORVALAN
COSQUIN
COSTA RICA
CRAMER
CRAMER AV.
CRUZ, OSVALDO
CRUZ, OSVALDO AV.
CUBA
CUBAS, JOSE
CUENCA
CULLEN
CURAPALIGUE
CURAPALIGUE AV.
DARACT AV.
DARREGUEYRA
DARWIN
DEAN FUNES
DEFENSA
DEHEZA
DE LA TORRE, LISANDRO
DE LA TORRE, LISANDRO AV.
DEL CAMPO AV.
DELGADO
DEL LIBERTADOR AV.
DE LOS CONSTITUYENTES AV.
DE LOS CORRALES AV.
DE LOS INCAS AV.
DE LOS INMIGRANTES AV.
DE MAYO AV.
DESAGUADERO
DIAZ, ANA
DIAZ, AVELINO
DIAZ, CESAR, GRAL.
DIAZ, CNEL. AV.
DIAZ COLODRERO
DIAZ VELEZ AV.
DIRECTORIO AV.
DONADO
DON PEDRO DE MENDOZA AV.
DORREGO
DORREGO AV.
DRAGO, LUIS MARIA
DRAGONES
ECHEVERRIA
ECUADOR
ELCANO
ELCANO AV.
EL GAUCHO
EL SALVADOR
ENSENADA
ENTRE RIOS AV.
ESCALADA AV.
ESCALADA DE SAN MARTIN, R.
ESMERALDA
ESPAÑA AV.
ESQUIU
ESTADO DE ISRAEL AV.
ESTADO PLURINACIONAL DE BOLIVIA
ESTADOS UNIDOS
ESTIVAO
FALCON, RAMON L.,CNEL.
FAMATINA
FERNANDEZ
FERNANDEZ DE ENCISO
FERNANDEZ DE LA CRUZ, F., GRAL. AV.
FIGUEROA ALCORTA, PRES. AV.
FIGUEROA, D. APOLINARIO, CORONEL
FILIBERTO
FINOCHIETTO ENRIQUE DR.
FITZ ROY
FLORIDA
FOREST AV.
FORMOSA
FRAGA
FRAGATA PRES. SARMIENTO
FRANCO
FRANKLIN
FRAY CAYETANO RODRIGUEZ
FRAY JUSTO SANTAMARIA DE ORO
FREIRE, RAMON, CAP. GRAL.
FRIAS, EUSTOQUIO, TTE. GENERAL
GALICIA
GALLARDO, ANGEL AV.
GALLO
GALVAN
GANA
GAONA AV.
GARAY, JUAN DE AV.
GARCIA, JUAN AGUSTIN
GARCIA, MANUEL
GARCIA, MARTIN AV.
GARCIA, TEODORO
GARMENDIA AV.
GASCON
GAVILAN
GELLY
GILARDI, GILARDO
GODOY CRUZ
GOLETA SANTA CRUZ
GONZALEZ, JOAQUIN V.
GORDILLO, TIMOTEO
GORRITI
GOYENA, PEDRO AV.
GRITO DE ASENCIO
GRIVEO
GUALEGUAYCHU
GUAMINI
GUARDIA NACIONAL
GUARDIA VIEJA
GUAYAQUIL
GUEVARA
GUIDO
GURRUCHAGA
GUTIERREZ, RICARDO
GUZMAN AV.
HELGUERA
HEREDIA
HERNANDEZ, JOSE
HERRERA
HIDALGO
HOLMBERG
HOMERO
HONDURAS
HONDURAS AV.
HORNOS, GRAL.
HORTIGUERA
HUERGO, ING. AV.
HUMBERTO 1º
HUMBOLDT
IGUAZU
INDEPENDENCIA AV.
IRALA
IRIARTE, GRAL. AV.
IRIGOYEN
IRIGOYEN, BERNARDO DE
JANER, ANA MARIA
JUJUY AV.
JUNCAL
JUNIN
JURAMENTO
JURAMENTO AV.
JUSTO, JUAN B. AV.
LACARRA
LACARRA AV.
LACROZE, FEDERICO
LACROZE, FEDERICO AV.
LADINES
LAFINUR
LAFUENTE
LAFUENTE AV.
LAGUNA
LAMARCA, EMILIO
LA PAMPA
LA PLATA AV.
LA RIOJA
LARRALDE, CRISOLOGO AV.
LARRAYA
LARRAZABAL
LARRAZABAL AV.
LARREA
LASCANO
LAS HERAS GENERAL AV.
LASTRA AV.
LAUTARO
LAVALLE
LAVAYSSE, BENJAMIN J. (EX CORREA, BENITO)
LEOPARDI
LIBERTAD
LIMA
LIMA ESTE
LIMA OESTE
LINIERS VIRREY
LISTA, RAMON, CORONEL
LLAVALLOL
LLERENA
LOPE DE VEGA AV.
LOPEZ, CARLOS ANTONIO
LOPEZ, VICENTE
LOZANO, PEDRO
LUGONES
LUJAN
LUPPI, ABRAHAM J.
LYNCH
MACHADO, ANTONIO
MACHAIN
MADERO
MAGALLANES
MAGARIÑOS CERVANTES, A.
MALABIA
MALVINAS ARGENTINAS
MANSILLA, LUCIO NORBERTO, GENERAL
MANZONI
MARECHAL, LEOPOLDO
MARGARIÑOS CERVANTES, A.
MARMOL, JOSE
MARTI, JOSE
MARTINEZ CASTRO
MARTINEZ ROSAS
MARTINEZ, VICTOR
MARTINEZ ZUVIRIA, GUSTAVO,
MATHEU
MATIENZO, BENJAMIN, TENIENTE
MAURE
MAZA
MEDINA
MEDRANO
MEDRANO AV.
MELIAN AV.
MELINCUE
MELO, CARLOS F.
MENDEZ DE ANDES
MENDOZA
MERCEDES
MEXICO
MIGUEL ANGEL
MIGUELETES
MILTON
MIRALLA
MISTRAL, GABRIELA
MITRE, BARTOLOME
MITRE, EMILIO
MOLINA
MONROE
MONROE AV.
MONTEAGUDO
MONTES DE OCA, MANUEL
MONTEVIDEO
MONTIEL
MORAN, PEDRO
MOREAU DE JUSTO, ALICIA AV.
MORELOS
MORENO
MORENO, JOSE MARIA AV.
MORENO, PERITO AV.
MORON
MOSCONI GENERAL AV.
MOZART
MUÑECAS
MUÑIZ
MURGUIONDO
MURILLO
NAHUEL HUAPI
NAZARRE
NAZCA
NAZCA AV.
NECOCHEA
NEUQUEN
NEWBERY, JORGE
NEWBERY, JORGE AV.
NOGOYA
NUEVA YORK
NUÑEZ
OBLIGADO RAFAEL, AV.COSTANERA
O'HIGGINS
OLAVARRIA
OLAYA
OLAZABAL
OLAZABAL AV.
OLIDEN
OLIVERA AV.
OLLEROS
OROÑO, NICASIO
ORTIZ DE OCAMPO
ORTIZ DE OCAMPO AV.
OSORIO
PALACIOS, ALFREDO L.
PALMAR
PALOS
PARAGUAY
PARANA
PAREJA
PAREJA ALFEREZ FRANCISCO
PAROISSIEN
PASCO
PASEO COLON AV.
PASO
PASTEUR
PATAGONES
PATRICIAS ARGENTINAS AV.
PATRON
PAVON
PAVON AV.
PAZ, GRAL. AV. COLECTORA
PAZ SOLDAN
PEDERNERA
PEDRAZA MANUELA
PEPIRI
PEREZ GALDOS, BENITO AV.
PEREZ, ROQUE
PERGAMINO
PERON, EVA AV.
PERON, JUAN DOMINGO, TTE. GENERAL
PERU
PICHEUTA
PICHINCHA
PICHINCHA AV.
PICO
PIEDRA BUENA AV.
PIEDRAS
PILAR
PINEDO AV.
PINO, VIRREY DEL
PINTO
PIZARRO
PLAZA
POMAR, GREGORIO TTE. CNEL.
PORTELA
POTOSI
PRINGLES
PUAN
PUEYRREDON AV.
PUEYRREDON, HONORIO, DR. AV.
PUNTA ARENAS
PY, COMODORO AV.
QUIROS
QUITO
RABANAL, FRANCISCO, INTENDENTE AV.
RAFAELA
RAMALLO
RAMIREZ, CARLOS M.
RAMIREZ DE VELASCO, JUAN
RAMOS MEJIA
RAMOS MEJIA, JOSE MARIA, DR. AV.
RAMSAY
RAULET
RAVIGNANI, EMILIO, DR.
REGIMIENTO DE PATRICIOS AV.
REPUBLICA BOLIVARIANA DE VENEZUELA
RIESTRA AV.
RIGLOS
RIOBAMBA
RIO DE JANEIRO
RIVADAVIA AV.
RIVERA INDARTE AV.
ROCA, CNEL. AV.
ROCA, JULIO A., PRESIDENTE AV.
ROCHA
RODO, JOSE E.
RODRIGUEZ PEÑA
ROJAS
RONDEAU
ROOSEVELT FRANKLIN D. AV.
ROSARIO
ROSETI
RUCCI, JOSE IGNACIO
RUIZ DE LOS LLANOS
SAAVEDRA
SAENZ AV.
SAENZ PEÑA, LUIS, PRES.
SAENZ PEÑA, ROQUE, PRES. AV.
SALGUERO, JERONIMO
SALTA
SANABRIA
SAN ANTONIO
SANCHEZ DE BUSTAMANTE
SANCHEZ DE LORIA
SAN ISIDRO LABRADOR AV.
SAN JOSE
SAN JOSE DE CALASANZ
SAN JUAN AV.
SAN JUAN BAUTISTA DE LA SALLE AV.
SAN LUIS
SAN MARTIN AV.
SAN MARTIN DE TOURS
SAN NICOLAS
SAN PEDRITO
SAN PEDRITO AV.
SAN PEDRO
SANTA FE AV.
SANTA MAGDALENA
SANTANDER
SANTIAGO DE COMPOSTELA AV.
SANTIAGO DEL ESTERO
SANTO DOMINGO
SARAZA
SARMIENTO
SARMIENTO AV.
SARMIENTO FRAGATA PRES.
SASTRE, MARCOS
SCALABRINI ORTIZ, RAUL
SCALABRINI ORTIZ, RAUL AV.
SEGUI, F. J., ALTE.
SEGUROLA AV.
SERRANO
SIMBRON
SOLDADO DE LA FRONTERA AV.
SOLDADO DE LA INDEPENDENCIA
SOLIS
SOMELLERA
SUAREZ
SUAREZ AV.
SUAREZ, JOSE LEON
SUCRE, ANTONIO JOSE DE, MCAL.
SUPERI
TABARE
TABORDA, DIOGENES
TACUARI
TALCAHUANO
TANDIL
TAPALQUE
THAMES
TINOGASTA
TONELERO
TRAFUL
TRELLES, MANUEL R.
TRELLES, MANUEL R. AV.
TRIUNVIRATO AV.
TRONADOR
TUCUMAN
TUYUTI
UDAONDO, GUILLERMO AV.
UGARTE, MANUEL
URIARTE
URIBURU JOSE E., PRES.
URQUIZA, GRAL.
URUGUAY
URUGUAY AV.
USPALLATA
VALLE, ARISTOBULO DEL
VALLEJOS
VARELA
VARELA AV.
VEDIA
VEGA, NICETO, CNEL.
VEGA, NICETO, CNEL. AV.
VELEZ SARSFIELD AV.
VENTANA
VERA
VERNET AV.
VERTIZ VIRREY AV.
VIALE, LUIS
VIAMONTE
VIDAL
VIEDMA, FRANCISCO DE
VIEL
VIEYTES
WARNES AV.
WASHINGTON
WHITE
YERBAL
YRIGOYEN, HIPOLITO
YRIGOYEN, HIPOLITO AV.
ZAMUDIO
ZAPIOLA
ZAVALETA
ZELARRAYAN
ZUFRIATEGUI, JUAN
ZUVIRIA

